text,likes,comment_id,sentiment
The story is very good,0,Ugy851HZXrLI4M5B48Z4AaABAg,positive
the tigers are drawn so well wtf,0,UgxAFra4n3hDQBuXRzd4AaABAg,negative
I would rather create tens of thousands of dream images using AI not wasting time on process of drawing stuff Trillions of study and other things to do in short life words alone can never describe,0,Ugz4MyivMAIdH18BGzB4AaABAg,positive
Never like a video that fast,0,UgwSPqrbnXn8bnyiCaV4AaABAg,negative
The reason I draw is because of PewDiePie 2 years ago He inspired me to start drawing,0,Ugze3A-8u4WYaJKTmVZ4AaABAg,positive
Youre an inspiration to us all Pewds ,0,UgwMQyv2kspFhPDdIsh4AaABAg,positive
we will forever miss our fav minecraft youtuber,1,UgyeDOOw7rAZDfZKisZ4AaABAg,positive
pewds i think youre too hard on yourself,1,UgxYZpWZ342fvy4P5c54AaABAg,negative
What exactly is your channel Is it daily but not daily vlogging,0,Ugwqb4g4aI2SEt0hksp4AaABAg,neutral
Pewds you need to play more trap adventure 2,0,UgyvsrOhtMYkXOD7Z794AaABAg,positive
something about a little white baby speaking japanese is just so bizarre,0,UgwLkY0UN9yP5KyDV9l4AaABAg,negative
STOP doing things PLEASE,0,Ugy-r2CPhODKtkyxsSZ4AaABAg,neutral
Do I hear a WIT studio is turning my manga into an anime collab in the near future ,1,UgwgRvFc100I46lYtEt4AaABAg,neutral
you can use 3d models or just real life photos to help draw complex shapes such as horses,0,UgzRk8X8ULfCF-1IZD14AaABAg,positive
what is his earphone brand the mic is sick for an earphone ,0,UgwPspaaNgiHvq8QGC94AaABAg,negative
PLEASE PUBLISH Please,0,Ugxw06f9eq-ClaRoKIh4AaABAg,positive
Im freaking blown away he just started learning to draw recently  so awesome pewds,0,Ugx5tCzDxPozudKndQR4AaABAg,positive
Colorbrushes are my some of my favorite art supplies,0,UgzqonNEOBvLNTT_NRV4AaABAg,positive
This is amazing,0,UgxeIxT5LXL-jPaNa4l4AaABAg,positive
12 years later and I am still here watching Love you Pewds keep having an amazing adventure You are always an inspiration 3,0,Ugzf7oDAeVJH_Sphqf94AaABAg,positive
My main advice for you manga project is to have another kid,0,UgwlCPqB4XqWDUTthXp4AaABAg,neutral
Your art is really pleasing to look at that includes the water color one,0,UgxZPEuDCRhA9gZ7AB54AaABAg,positive
What are we doing gang  This man is supposed to be my photoshop goat,1,Ugz4JvlU5LVcbGgis4N4AaABAg,neutral
Way way better than expected,0,UgwOuKEfzOX_hRl80WV4AaABAg,positive
2 decades from now pewdiepie is going to be solving ftl travel because he can,0,Ugx1JBFZ5GwefT9Dcal4AaABAg,positive
527 Hey guys I think I found a glue,0,UgyNJuH8riwV-QXTXjt4AaABAg,neutral
What i would give to see pewds play bob in tekken 8,0,UgxExgg-uRmAuOBqEtl4AaABAg,positive
This video was amazing learned a lot,0,Ugy3q_3QITHXU6dW44R4AaABAg,positive
remember when he said the N word,0,UgwMu8LN0hrev9MHCy94AaABAg,neutral
Hello today I saw the protests of Turkish players and I felt really bad for them GTA 6 doesnt support their native language yet they are so excited and havent lost hope they are actively using hashtags and messaging Rockstar to get Turkish language support added to the game Please empathize with the sense of incompleteness that comes from not being able to play a game in your native language and please be a supporter of them,0,Ugy0uHWDOnDzzTv1_nd4AaABAg,positive
I keep having horrible time with motivation in my life which includes drawing but whenever I see you draw I genuinely want to try again You worked to hard to get where you are now and I think its incredible I love your manga,0,UgwxgVuoWJq2vqDpoVt4AaABAg,positive
Father time aint it,0,Ugxclbxx12oMKu0zZUd4AaABAg,neutral
twin please illustrate shounen ai,0,UgxJSmX9b1BMXP74xSB4AaABAg,positive
Blame as the manga bible is right Such a great artist and he has so  much going on with just architecture and simple looking figures And you can watch the mangaka get so much better from volum1 onwards He knew waht he was doing but wasnt such a fantastic artist in volume 1 and 2,0,UgzkvDOATW7pSrwTynt4AaABAg,negative
Youre not gonna be good at a thing by not doing the thing ,0,UgxyuOZFkBB22PWK8Wt4AaABAg,negative
The kitten got me ,0,Ugwfk2D1k6nY4Wz6zRp4AaABAg,neutral
